"FileName","FullPath","SizeKB","Reason"
"2UAU9WVE__Diapositiva436.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2UAU9WVE__Diapositiva436.JPG","60.6","Could not parse NFT number from filename"
"2VF8PSAF__Diapositiva502.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2VF8PSAF__Diapositiva502.JPG","140.3","Could not parse NFT number from filename"
"2VFN34TY__Diapositiva33.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2VFN34TY__Diapositiva33.JPG","143.4","Could not parse NFT number from filename"
"2VIC7E6J__Diapositiva975.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2VIC7E6J__Diapositiva975.JPG","145.5","Could not parse NFT number from filename"
"2VL32TSQ__Diapositiva199.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2VL32TSQ__Diapositiva199.JPG","142.2","Could not parse NFT number from filename"
"2VPZT6HJ__Diapositiva600.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2VPZT6HJ__Diapositiva600.JPG","57.9","Could not parse NFT number from filename"
"2WH9XTVQ__Diapositiva364.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2WH9XTVQ__Diapositiva364.JPG","85.4","Could not parse NFT number from filename"
"2X9WVSN3__Diapositiva434.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2X9WVSN3__Diapositiva434.JPG","110.3","Could not parse NFT number from filename"
"2XLRF3DA__Diapositiva691.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2XLRF3DA__Diapositiva691.JPG","80.7","Could not parse NFT number from filename"
"2XNSTNBT__Diapositiva414.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2XNSTNBT__Diapositiva414.JPG","85.8","Could not parse NFT number from filename"
"2XXNHLQR__Diapositiva583.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2XXNHLQR__Diapositiva583.JPG","67.5","Could not parse NFT number from filename"
"2Y8IMU85__Diapositiva425.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2Y8IMU85__Diapositiva425.JPG","94.4","Could not parse NFT number from filename"
"2ZLVRBAD__Diapositiva379.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\2ZLVRBAD__Diapositiva379.JPG","122.1","Could not parse NFT number from filename"
"32246S65__Diapositiva637.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\32246S65__Diapositiva637.JPG","131.9","Could not parse NFT number from filename"
"32E4LNZ8__Diapositiva966.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\32E4LNZ8__Diapositiva966.JPG","140.3","Could not parse NFT number from filename"
"337RNGUW__Diapositiva475.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\337RNGUW__Diapositiva475.JPG","54.6","Could not parse NFT number from filename"
"33GNNDSK__Diapositiva877.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\33GNNDSK__Diapositiva877.JPG","124","Could not parse NFT number from filename"
"33KW97UL__Diapositiva236.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\33KW97UL__Diapositiva236.JPG","123.9","Could not parse NFT number from filename"
"34A6YQF4__Diapositiva863.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\34A6YQF4__Diapositiva863.JPG","139.3","Could not parse NFT number from filename"
"34DR5YEM__Diapositiva866.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\34DR5YEM__Diapositiva866.JPG","40.4","Could not parse NFT number from filename"
"34GHADUI__Diapositiva745.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\34GHADUI__Diapositiva745.JPG","43.1","Could not parse NFT number from filename"
"34P735PL__Diapositiva696.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\34P735PL__Diapositiva696.JPG","140","Could not parse NFT number from filename"
"35IZPFZ4__Diapositiva870.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\35IZPFZ4__Diapositiva870.JPG","135.5","Could not parse NFT number from filename"
"35WJLJ7D__Diapositiva960.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\35WJLJ7D__Diapositiva960.JPG","82.2","Could not parse NFT number from filename"
"35X7ELP4__Diapositiva808.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\35X7ELP4__Diapositiva808.JPG","136.5","Could not parse NFT number from filename"
"37D36LK6__Diapositiva631.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\37D36LK6__Diapositiva631.JPG","110","Could not parse NFT number from filename"
