"NFTNumber","DisplayTitle","FileName","FullPath","Extension","SizeKB","SuggestedBatch","SuggestedGalleryPage"
"3058","Light Cult Crypto Club #3058","QXTPNYV2__3058 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QXTPNYV2__3058 - Light Cult Crypto Club.JPG",".JPG","63.4","3001-4000","gallery-3001-3100.html"
"3059","Light Cult Crypto Club #3059","TGJ2PAA7__3059 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TGJ2PAA7__3059 - Light Cult Crypto Club.JPG",".JPG","93.4","3001-4000","gallery-3001-3100.html"
"3060","Light Cult Crypto Club #3060","TDLQN6GF__3060 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TDLQN6GF__3060 - Light Cult Crypto Club.JPG",".JPG","79.1","3001-4000","gallery-3001-3100.html"
"3061","Light Cult Crypto Club #3061","YGLGTVWM__3061 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YGLGTVWM__3061 - Light Cult Crypto Club.JPG",".JPG","69.2","3001-4000","gallery-3001-3100.html"
"3062","Light Cult Crypto Club #3062","PKBPJYJA__3062 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\PKBPJYJA__3062 - Light Cult Crypto Club.JPG",".JPG","79.9","3001-4000","gallery-3001-3100.html"
"3063","Light Cult Crypto Club #3063","GRFBHYYC__3063 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\GRFBHYYC__3063 - Light Cult Crypto Club.JPG",".JPG","149.4","3001-4000","gallery-3001-3100.html"
"3064","Light Cult Crypto Club #3064","F8CE74UR__3064 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\F8CE74UR__3064 - Light Cult Crypto Club.JPG",".JPG","156.6","3001-4000","gallery-3001-3100.html"
"3065","Light Cult Crypto Club #3065","HQ5AYT9D__3065 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\HQ5AYT9D__3065 - Light Cult Crypto Club.JPG",".JPG","117.2","3001-4000","gallery-3001-3100.html"
"3066","Light Cult Crypto Club #3066","DP9EWFH5__3066 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\DP9EWFH5__3066 - Light Cult Crypto Club.JPG",".JPG","140.9","3001-4000","gallery-3001-3100.html"
"3067","Light Cult Crypto Club #3067","L3R256BJ__3067 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\L3R256BJ__3067 - Light Cult Crypto Club.JPG",".JPG","122.5","3001-4000","gallery-3001-3100.html"
"3068","Light Cult Crypto Club #3068","MSJQVHM4__3068 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\MSJQVHM4__3068 - Light Cult Crypto Club.JPG",".JPG","139.2","3001-4000","gallery-3001-3100.html"
"3069","Light Cult Crypto Club #3069","TP7T296R__3069 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TP7T296R__3069 - Light Cult Crypto Club.JPG",".JPG","81","3001-4000","gallery-3001-3100.html"
"3070","Light Cult Crypto Club #3070","S85ULWVV__3070 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\S85ULWVV__3070 - Light Cult Crypto Club.JPG",".JPG","123.2","3001-4000","gallery-3001-3100.html"
"3071","Light Cult Crypto Club #3071","QJNAR8J5__3071 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QJNAR8J5__3071 - Light Cult Crypto Club.JPG",".JPG","135.5","3001-4000","gallery-3001-3100.html"
"3072","Light Cult Crypto Club #3072","AN2Q6LYI__3072 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\AN2Q6LYI__3072 - Light Cult Crypto Club.JPG",".JPG","78.1","3001-4000","gallery-3001-3100.html"
"3073","Light Cult Crypto Club #3073","CHKVQ47N__3073 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\CHKVQ47N__3073 - Light Cult Crypto Club.JPG",".JPG","110.2","3001-4000","gallery-3001-3100.html"
"3074","Light Cult Crypto Club #3074","SAG8BNDE__3074 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\SAG8BNDE__3074 - Light Cult Crypto Club.JPG",".JPG","138.2","3001-4000","gallery-3001-3100.html"
