"NFTNumber","DisplayTitle","FileName","FullPath","Extension","SizeKB","InExpectedRange"
"15","Light Cult Crypto Club #15","47AXCZMG__Diapositiva15.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\47AXCZMG__Diapositiva15.JPG",".JPG","72.6","True"
"15","Light Cult Crypto Club #15","QD2K5L2H__Diapositiva15.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QD2K5L2H__Diapositiva15.JPG",".JPG","121","True"
"15","Light Cult Crypto Club #15","UFBWXECT__Diapositiva15.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\UFBWXECT__Diapositiva15.JPG",".JPG","51.5","True"
"16","Light Cult Crypto Club #16","HHI943UG__Diapositiva16.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\HHI943UG__Diapositiva16.JPG",".JPG","48.2","True"
"16","Light Cult Crypto Club #16","L6H9PILK__Diapositiva16.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\L6H9PILK__Diapositiva16.JPG",".JPG","105","True"
"16","Light Cult Crypto Club #16","Q6DABQ4Y__Diapositiva16.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\Q6DABQ4Y__Diapositiva16.JPG",".JPG","61.2","True"
"17","Light Cult Crypto Club #17","5FQRLFVQ__Diapositiva17.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\5FQRLFVQ__Diapositiva17.JPG",".JPG","133.5","True"
"17","Light Cult Crypto Club #17","T5QYUWKB__Diapositiva17.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\T5QYUWKB__Diapositiva17.JPG",".JPG","144.6","True"
"18","Light Cult Crypto Club #18","T2IQXKYE__Diapositiva18.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\T2IQXKYE__Diapositiva18.JPG",".JPG","85.4","True"
"18","Light Cult Crypto Club #18","XFDD35Q8__Diapositiva18.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XFDD35Q8__Diapositiva18.JPG",".JPG","52.1","True"
"18","Light Cult Crypto Club #18","YYR5XITA__Diapositiva18.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YYR5XITA__Diapositiva18.JPG",".JPG","168","True"
"19","Light Cult Crypto Club #19","9CJ3WVPS__Diapositiva19.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\9CJ3WVPS__Diapositiva19.JPG",".JPG","79.9","True"
"19","Light Cult Crypto Club #19","MG6U8TNQ__Diapositiva19.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\MG6U8TNQ__Diapositiva19.JPG",".JPG","73.2","True"
"19","Light Cult Crypto Club #19","UFV699EV__Diapositiva19.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\UFV699EV__Diapositiva19.JPG",".JPG","187.1","True"
"20","Light Cult Crypto Club #20","4CT5K7L8__Diapositiva20.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4CT5K7L8__Diapositiva20.JPG",".JPG","53","True"
